"","year","gender","agegroup","measurement","value"
"1",1999,"Female","[15:20)","artcoverage",0
"2",2000,"Female","[15:20)","artcoverage",0
"3",2002,"Female","[15:20)","artcoverage",0
"4",2003,"Female","[15:20)","artcoverage",0
"5",2004,"Female","[15:20)","artcoverage",0
"6",2006,"Female","[15:20)","artcoverage",0
"7",2007,"Female","[15:20)","artcoverage",0
"8",2009,"Female","[15:20)","artcoverage",0.0526315789473684
"9",2011,"Female","[15:20)","artcoverage",0
"10",2012,"Female","[15:20)","artcoverage",0.0909090909090909
"11",2014,"Female","[15:20)","artcoverage",0.304347826086957
"12",2016,"Female","[15:20)","artcoverage",0.552631578947368
"13",1999,"Male","[15:20)","artcoverage",0
"14",2000,"Male","[15:20)","artcoverage",0
"15",2002,"Male","[15:20)","artcoverage",0
"16",2003,"Male","[15:20)","artcoverage",0
"17",2004,"Male","[15:20)","artcoverage",0
"18",2006,"Male","[15:20)","artcoverage",0
"19",2007,"Male","[15:20)","artcoverage",0.2
"20",2009,"Male","[15:20)","artcoverage",0.166666666666667
"21",2011,"Male","[15:20)","artcoverage",0.2
"22",2012,"Male","[15:20)","artcoverage",0.461538461538462
"23",2014,"Male","[15:20)","artcoverage",0.25
"24",2016,"Male","[15:20)","artcoverage",0.5
"25",1999,"Female","[20:25)","artcoverage",0
"26",2000,"Female","[20:25)","artcoverage",0
"27",2002,"Female","[20:25)","artcoverage",0
"28",2003,"Female","[20:25)","artcoverage",0
"29",2004,"Female","[20:25)","artcoverage",0
"30",2006,"Female","[20:25)","artcoverage",0.0277777777777778
"31",2007,"Female","[20:25)","artcoverage",0.0155038759689922
"32",2009,"Female","[20:25)","artcoverage",0.0275229357798165
"33",2011,"Female","[20:25)","artcoverage",0.0818181818181818
"34",2012,"Female","[20:25)","artcoverage",0.19672131147541
"35",2014,"Female","[20:25)","artcoverage",0.397058823529412
"36",2016,"Female","[20:25)","artcoverage",0.623931623931624
"37",1999,"Male","[20:25)","artcoverage",0
"38",2000,"Male","[20:25)","artcoverage",0
"39",2002,"Male","[20:25)","artcoverage",0
"40",2003,"Male","[20:25)","artcoverage",0
"41",2004,"Male","[20:25)","artcoverage",0
"42",2006,"Male","[20:25)","artcoverage",0
"43",2007,"Male","[20:25)","artcoverage",0
"44",2009,"Male","[20:25)","artcoverage",0
"45",2011,"Male","[20:25)","artcoverage",0
"46",2012,"Male","[20:25)","artcoverage",0.0333333333333333
"47",2014,"Male","[20:25)","artcoverage",0.151515151515152
"48",2016,"Male","[20:25)","artcoverage",0.275862068965517
"49",1999,"Female","[25:30)","artcoverage",0
"50",2000,"Female","[25:30)","artcoverage",0
"51",2002,"Female","[25:30)","artcoverage",0
"52",2003,"Female","[25:30)","artcoverage",0
"53",2004,"Female","[25:30)","artcoverage",0
"54",2006,"Female","[25:30)","artcoverage",0.0778443113772455
"55",2007,"Female","[25:30)","artcoverage",0.101796407185629
"56",2009,"Female","[25:30)","artcoverage",0.102564102564103
"57",2011,"Female","[25:30)","artcoverage",0.12707182320442
"58",2012,"Female","[25:30)","artcoverage",0.204188481675393
"59",2014,"Female","[25:30)","artcoverage",0.453125
"60",2016,"Female","[25:30)","artcoverage",0.604651162790698
"61",1999,"Male","[25:30)","artcoverage",0
"62",2000,"Male","[25:30)","artcoverage",0
"63",2002,"Male","[25:30)","artcoverage",0
"64",2003,"Male","[25:30)","artcoverage",0
"65",2004,"Male","[25:30)","artcoverage",0
"66",2006,"Male","[25:30)","artcoverage",0.024390243902439
"67",2007,"Male","[25:30)","artcoverage",0.0476190476190476
"68",2009,"Male","[25:30)","artcoverage",0.0759493670886076
"69",2011,"Male","[25:30)","artcoverage",0.0833333333333333
"70",2012,"Male","[25:30)","artcoverage",0.1875
"71",2014,"Male","[25:30)","artcoverage",0.246753246753247
"72",2016,"Male","[25:30)","artcoverage",0.417910447761194
"73",1999,"Female","[30:35)","artcoverage",0
"74",2000,"Female","[30:35)","artcoverage",0
"75",2002,"Female","[30:35)","artcoverage",0
"76",2003,"Female","[30:35)","artcoverage",0
"77",2004,"Female","[30:35)","artcoverage",0
"78",2006,"Female","[30:35)","artcoverage",0.153846153846154
"79",2007,"Female","[30:35)","artcoverage",0.212765957446809
